,Discount Factor
0.08333333333333333,0.997907720146759
0.25,0.9934260034223527
0.5,0.9848335631278313
0.75,0.9769918421181184
1.0,0.9687110342722188
2.0,0.9452812159219869
3.0,0.925713912229409
4.0,0.9076242675549931
5.0,0.889678191475575
6.0,0.8712204754705847
7.0,0.8520232072624608
8.0,0.8321144783362445
9.0,0.8116625902234103
10.0,0.7908993785463881
11.0,0.7700712469523953
12.0,0.7494096846858475
13.0,0.7291152371239233
14.0,0.7093505020168688
15.0,0.6902389330018226
16.0,0.6718671528048106
17.0,0.6542891768185465
18.0,0.6375314699068532
19.0,0.6215981420830332
20.0,0.6064758626387202
21.0,0.592138262826993
22.0,0.5785497252703894
23.0,0.5656685406829145
24.0,0.5534494624173777
25.0,0.5418457167957429
26.0,0.5308105395946153
27.0,0.520298311830783
28.0,0.5102653649277442
29.0,0.5006705190536229
30.0,0.4914754106399267
